	id_directeur	liste_films	directeur
168	nm0002180	[807986, 59034]	Francesca Archibugi
169	nm0002191	[1553, 6173, 21575, 746131, 440161, 97365, 314402]	Jacques Audiard
170	nm0002198	[620039]	Charles Aznavour
171	nm0002218	[13726, 40522, 51865, 55903, 110323]	Claude Miller
172	nm0002225	[17143, 23989]	Axel Sand
173	nm0002252	[516321]	David A. Armstrong
174	nm0002433	[48678]	Scott Smith
175	nm0002611	[575293]	Claus Drexel
176	nm0002653	[331, 1771, 2023]	Joe Johnston
177	nm0002657	[402900, 316152]	Gary Ross
178	nm0002699	[56087]	Xavier Koller
179	nm0002700	[12277]	Malcolm D. Lee
180	nm0002973	[279229]	Lev L. Spiro
181	nm0002989	[598413]	Andrew Stevens
182	nm0003021	[588228, 324849]	Chris McKay
183	nm0003160	[1619, 353081, 75780, 177677]	Christopher McQuarrie
184	nm0003418	[1735, 7451, 9799, 10048, 430040, 94348]	Rob Cohen
185	nm0003458	[121801]	Steven R. Monroe
186	nm0003482	[340022]	Nash Edgerton
187	nm0003506	[359724, 37834, 76170, 263115]	James Mangold
188	nm0003508	[8434, 489415]	Michel Blanc
189	nm0003535	[531299, 360387]	Ken Sanzel
190	nm0003587	[568123]	John Penney
191	nm0003606	[24685]	Philippe de Broca
192	nm0003620	[23742, 48572]	Kevin Smith
193	nm0003697	[582, 37710]	Florian Henckel von Donnersmarck
194	nm0003745	[754609]	Anthony Fabian
195	nm0003916	[454545]	Tim Trageser
196	nm0003939	[735919, 527511]	Vikramaditya Motwane
197	nm0003974	[45699, 241639]	Philippe Muyl
198	nm0004056	[49529]	Andrew Stanton
199	nm0004121	[243531]	Mikael Salomon
200	nm0004124	[76099]	Laurent Herbiet
201	nm0004152	[890656, 195269]	Roel Reiné
202	nm0004217	[491433, 489326]	André Øvredal
203	nm0004303	[2080, 80274]	Gavin Hood
204	nm0004306	[76341]	George Miller
205	nm0004363	[25516, 32740, 204435]	Rakesh Roshan
206	nm0004376	[669666]	Franka Potente
207	nm0004380	[5881, 47471]	Antoine de Caunes
208	nm0004410	[1948, 15092, 18501, 628878, 71676]	Mark Neveldine
209	nm0004412	[21052]	Ed Solomon
210	nm0004541	[506863, 90953]	David Blair
211	nm0004675	[4614]	Phil Alden Robinson
212	nm0004689	[2395, 18457, 139156]	Frédéric Forestier
213	nm0004716	[12163]	Darren Aronofsky
214	nm0004784	[321621]	Tony Bui
215	nm0004906	[718400]	Peter Facinelli
216	nm0005008	[412988]	Brian Henson
217	nm0005033	[315669]	Sammo Kam-Bo Hung
218	nm0005101	[16135, 441384, 122081]	Harmony Korine
219	nm0005139	[11109, 12454, 245700]	Mike Leigh
220	nm0005222	[37724, 206647]	Sam Mendes
221	nm0005295	[3989]	Trey Parker
222	nm0005363	[10528, 10851, 13809, 882569, 739405, 637649, 522627, 58574, 203801, 274857]	Guy Ritchie
223	nm0005367	[20697]	Brian Robbins
