	id_tmdb	liste_acteurs
51	503	[['Richard Dreyfuss'], ['Kurt Russell'], ['Emmy Rossum'], ['Josh Lucas'], ['Jacinda Barrett'], ['Mía Maestro'], ['Mike Vogel'], ['Kevin Dillon'], ['Freddy Rodríguez'], ['Jimmy Bennett']]
52	508	[['Hugh Grant'], ['Martine McCutcheon'], ['Liam Neeson'], ['Laura Linney'], ['Bill Nighy'], ['Gregor Fisher'], ['Rory MacGregor'], ['Colin Firth'], ['Sienna Guillory'], ['Emma Thompson']]
53	534	[['Christian Bale'], ['Sam Worthington'], ['Anton Yelchin'], ['Moon Bloodgood'], ['Helena Bonham Carter'], ['Jadagrace'], ['Bryce Dallas Howard'], ['Common'], ['Jane Alexander'], ['Michael Ironside']]
54	537	[['Patrick Chesnais'], ['Anne Consigny'], ['Georges Wilson'], ['Lionel Abelanski'], ['Cyril Couton'], ['Geneviève Mnich'], ['Hélène Alexandridis'], ['Anne Benoît'], ['Olivier Claverie'], ['Marie-Sohna Condé']]
55	540	[['Sara Foster'], ['Jordana Brewster'], ['Devon Aoki'], ['Jill Ritchie'], ['Meagan Good'], ['Geoff Stults'], ['Jimmi Simpson'], ['Jessica Cauffiel'], ['Christina Kirk'], ['Holland Taylor']]
56	553	[['Nicole Kidman'], ['Paul Bettany'], ['Lauren Bacall'], ['Harriet Andersson'], ['Jean-Marc Barr'], ['Blair Brown'], ['James Caan'], ['Patricia Clarkson'], ['Jeremy Davies'], ['Ben Gazzara']]
57	557	[['Tobey Maguire'], ['Tobey Maguire'], ['Kirsten Dunst'], ['Willem Dafoe'], ['Willem Dafoe'], ['James Franco'], ['Cliff Robertson'], ['Rosemary Harris'], ['J.K. Simmons'], ['Joe Manganiello'], ['Gerry Becker'], ['Bill Nunn']]
58	558	[['Tobey Maguire'], ['Tobey Maguire'], ['Kirsten Dunst'], ['Alfred Molina'], ['Alfred Molina'], ['James Franco'], ['Rosemary Harris'], ['J.K. Simmons'], ['Donna Murphy'], ['Daniel Gillies'], ['Dylan Baker'], ['Bill Nunn']]
59	559	[['Tobey Maguire'], ['Tobey Maguire'], ['Kirsten Dunst'], ['Topher Grace'], ['Topher Grace'], ['Thomas Haden Church'], ['Thomas Haden Church'], ['James Franco'], ['James Franco'], ['Bryce Dallas Howard'], ['Rosemary Harris'], ['J.K. Simmons'], ['James Cromwell'], ['Theresa Russell']]
60	561	[['Keanu Reeves'], ['Rachel Weisz'], ['Rachel Weisz'], ['Djimon Hounsou'], ['Shia LaBeouf'], ['Max Baker'], ['Pruitt Taylor Vince'], ['Gavin Rossdale'], ['Tilda Swinton'], ['Peter Stormare'], ['Jesse Ramirez']]
61	570	[['Anaïs Reboux'], ['Roxane Mesquida'], ['Libero De Rienzo'], ['Arsinée Khanjian'], ['Romain Goupil'], ['Romain Goupil'], ['Laura Betti'], ['Albert Goldberg'], ['Odette Barrière'], ['Ann Matthijsse'], ['Pierre Renverseau']]
62	582	[['Ulrich Mühe'], ['Martina Gedeck'], ['Sebastian Koch'], ['Ulrich Tukur'], ['Thomas Thieme'], ['Hans-Uwe Bauer'], ['Volkmar Kleinert'], ['Matthias Brenner'], ['Charly Hübner'], ['Herbert Knaup']]
63	584	[['Paul Walker'], ['Tyrese Gibson'], ['Cole Hauser'], ['Eva Mendes'], ['Ludacris'], ['Thom Barry'], ['James Remar'], ['Devon Aoki'], ['Amaury Nolasco'], ['Michael Ealy']]
64	588	[['Radha Mitchell'], ['Laurie Holden'], ['Sean Bean'], ['Deborah Kara Unger'], ['Kim Coates'], ['Tanya Allen'], ['Alice Krige'], ['Jodelle Ferland'], ['Jodelle Ferland'], ['Colleen Williams'], ['Ron Gabriel']]
65	598	[['Alexandre Rodrigues'], ['Leandro Firmino'], ['Matheus Nachtergaele'], ['Phellipe Haagensen'], ['Douglas Silva'], ['Jonathan Haagensen'], ['Seu Jorge'], ['Jefechander Suplino'], ['Alice Braga'], ['Emerson Gomes']]
66	604	[['Keanu Reeves'], ['Laurence Fishburne'], ['Carrie-Anne Moss'], ['Hugo Weaving'], ['Ray Anthony'], ['Christine Anu'], ['Andy Arness'], ['Alima Ashton-Sheibu'], ['Helmut Bakaitis'], ['Steve Bastoni']]
67	605	[['Keanu Reeves'], ['Laurence Fishburne'], ['Carrie-Anne Moss'], ['Hugo Weaving'], ['Mary Alice'], ['Tanveer K. Atwal'], ['Helmut Bakaitis'], ['Kate Beahan'], ['Francine Bell'], ['Monica Bellucci']]
68	608	[['Tommy Lee Jones'], ['Will Smith'], ['Rip Torn'], ['Lara Flynn Boyle'], ['Johnny Knoxville'], ['Johnny Knoxville'], ['Rosario Dawson'], ['Tony Shalhoub'], ['Patrick Warburton'], ['Jack Kehler'], ['David Cross']]
69	612	[['Eric Bana'], ['Daniel Craig'], ['Marie-Josée Croze'], ['Ciarán Hinds'], ['Mathieu Kassovitz'], ['Hanns Zischler'], ['Ayelet Zurer'], ['Geoffrey Rush'], ['Gila Almagor'], ['Michael Lonsdale']]
70	616	[['Tom Cruise'], ['Ken Watanabe'], ['Billy Connolly'], ['William Atherton'], ['Chad Lindberg'], ['Ray Godshall Sr.'], ['Tony Goldwyn'], ['Masato Harada'], ['Masashi Odate'], ['John Koyama']]
71	647	[['Takahiro Sakurai'], ['Ayumi Ito'], ['Shôtarô Morikubo'], ['Shôtarô Morikubo'], ['Maaya Sakamoto'], ['Keiji Fujiwara'], ['Taiten Kusunoki'], ['Yûji Kishi'], ['Yûji Kishi'], ['Kenji Nomura'], ['Shôgo Suzuki'], ['Shôgo Suzuki'], ['Masahiro Kobayashi']]
72	652	[['Brad Pitt'], ['Eric Bana'], ['Orlando Bloom'], ['Julian Glover'], ['Brian Cox'], ['Nathan Jones'], ['Adoni Maropis'], ['Jacob Smith'], ['John Shrapnel'], ['Brendan Gleeson']]
73	670	[['Choi Min-sik'], ['Yoo Ji-tae'], ['Kang Hye-jeong'], ['Kim Byeong-Ok'], ['Ji Dae-han'], ['Oh Dal-su'], ['Seung-shin Lee'], ['Yoon Jin-seo'], ['Oh Tae-kyung'], ['Yoo Yeon-seok']]
74	676	[['Ben Affleck'], ['Kate Beckinsale'], ['Josh Hartnett'], ['William Lee Scott'], ['Greg Zola'], ['Ewen Bremner'], ['Alec Baldwin'], ['Jaime King'], ['Catherine Kellner'], ['Jennifer Garner']]
75	747	[['Simon Pegg'], ['Nick Frost'], ['Kate Ashfield'], ['Lucy Davis'], ['Dylan Moran'], ['Nicola Cunningham'], ['Keir Mills'], ['Matt Jaynes'], ['Gavin Ferguson'], ['Peter Serafinowicz']]
